Bandit,Reward,Algorithm
3,2.580394714351095,EpsilonGreedy
3,2.4516565010812124,EpsilonGreedy
3,2.9930921686205667,EpsilonGreedy
3,2.6814069570402,EpsilonGreedy
3,2.869999627984653,EpsilonGreedy
3,0.9881062220302699,EpsilonGreedy
3,3.6980885420389455,EpsilonGreedy
3,3.6299047545750462,EpsilonGreedy
3,3.865482248464926,EpsilonGreedy
3,3.100060992296294,EpsilonGreedy
3,3.190491485542064,EpsilonGreedy
3,2.7132433698094736,EpsilonGreedy
3,5.039753402627499,EpsilonGreedy
3,3.0672713877260147,EpsilonGreedy
3,3.271514932934724,EpsilonGreedy
3,2.77550289231066,EpsilonGreedy
3,3.7577461424028984,EpsilonGreedy
3,2.588728741966298,EpsilonGreedy
3,2.2108112682668843,EpsilonGreedy
3,2.8537406302842,EpsilonGreedy
3,3.3430568177666893,EpsilonGreedy
3,1.3758651876813035,EpsilonGreedy
3,4.335706292408712,EpsilonGreedy
3,2.7029332959220675,EpsilonGreedy
3,3.729543910898239,EpsilonGreedy
3,2.5580198631326043,EpsilonGreedy
3,2.3393120734892996,EpsilonGreedy
3,3.5483712508482537,EpsilonGreedy
3,2.50240634695714,EpsilonGreedy
3,3.6135389027222042,EpsilonGreedy
3,4.699052196404121,EpsilonGreedy
3,3.0561635917571794,EpsilonGreedy
3,3.30739959796655,EpsilonGreedy
3,4.253016481930995,EpsilonGreedy
3,2.545796089770181,EpsilonGreedy
3,1.7418707425225977,EpsilonGreedy
3,3.7634905754243073,EpsilonGreedy
3,3.869006618975151,EpsilonGreedy
3,3.1654327082283475,EpsilonGreedy
3,4.277202623496111,EpsilonGreedy
3,3.3943457814824334,EpsilonGreedy
3,5.068438946846271,EpsilonGreedy
3,3.237338899966043,EpsilonGreedy
3,3.86277815993562,EpsilonGreedy
3,4.469033433645306,EpsilonGreedy
3,0.8009764209808878,EpsilonGreedy
3,5.451824737856956,EpsilonGreedy
3,3.771202577171781,EpsilonGreedy
3,2.051037556451788,EpsilonGreedy
3,2.760781247276342,EpsilonGreedy
3,3.5495061636550496,EpsilonGreedy
3,3.032217641341108,EpsilonGreedy
3,3.4262972237915923,EpsilonGreedy
3,3.244107617706925,EpsilonGreedy
3,3.2578358441806285,EpsilonGreedy
3,3.9578867519469934,EpsilonGreedy
3,4.752423089253845,EpsilonGreedy
3,3.401036956565162,EpsilonGreedy
3,3.211115029382325,EpsilonGreedy
3,2.7613922854847015,EpsilonGreedy
3,3.23761328120005,EpsilonGreedy
3,4.08293039110234,EpsilonGreedy
3,2.2583410601142355,EpsilonGreedy
3,3.5119064805104387,EpsilonGreedy
3,3.15746278574357,EpsilonGreedy
3,3.9705073959016337,EpsilonGreedy
3,3.2070333165825087,EpsilonGreedy
3,2.0222114507322715,EpsilonGreedy
3,0.007817353831277796,EpsilonGreedy
3,2.6274293043462937,EpsilonGreedy
3,2.8758586667723782,EpsilonGreedy
3,2.843922688754421,EpsilonGreedy
3,3.686000049431774,EpsilonGreedy
3,2.5631426168511178,EpsilonGreedy
3,3.4032345280920335,EpsilonGreedy
3,1.924812051517238,EpsilonGreedy
3,3.0428012128538877,EpsilonGreedy
3,2.310692987901486,EpsilonGreedy
3,1.8113706071193492,EpsilonGreedy
3,3.5632636211093613,EpsilonGreedy
3,1.7251745794053215,EpsilonGreedy
3,2.985343337388783,EpsilonGreedy
3,4.042948990391646,EpsilonGreedy
3,2.65186039376209,EpsilonGreedy
3,3.884629496462721,EpsilonGreedy
3,2.5130545888529507,EpsilonGreedy
3,2.269876562199313,EpsilonGreedy
3,3.775785323290857,EpsilonGreedy
3,4.245556660346705,EpsilonGreedy
3,2.8806655181580894,EpsilonGreedy
3,1.8923070100871733,EpsilonGreedy
3,1.9297579028134337,EpsilonGreedy
3,3.3590451044664342,EpsilonGreedy
3,2.4014981392921793,EpsilonGreedy
3,1.808159029575174,EpsilonGreedy
3,2.636711174168713,EpsilonGreedy
3,2.3537763298580563,EpsilonGreedy
3,2.1671718924239523,EpsilonGreedy
3,5.157948172478909,EpsilonGreedy
3,3.35504016656129,EpsilonGreedy
3,1.3598478327883516,EpsilonGreedy
3,4.253689350802803,EpsilonGreedy
3,3.8979470671378995,EpsilonGreedy
3,1.7247079198145978,EpsilonGreedy
3,3.62426797560699,EpsilonGreedy
3,3.1892409316552888,EpsilonGreedy
3,3.0265029437551423,EpsilonGreedy
3,3.79526131056046,EpsilonGreedy
3,3.9767279716314183,EpsilonGreedy
3,1.1819979304947708,EpsilonGreedy
3,3.355684490086759,EpsilonGreedy
3,1.7593038932760854,EpsilonGreedy
3,3.746234200362155,EpsilonGreedy
3,4.518750472258598,EpsilonGreedy
3,2.023063947330453,EpsilonGreedy
3,3.3653363706906565,EpsilonGreedy
3,2.9148998846941208,EpsilonGreedy
3,3.6041755760231147,EpsilonGreedy
3,3.364521739989456,EpsilonGreedy
3,3.5497682381950604,EpsilonGreedy
3,2.312803330766868,EpsilonGreedy
3,2.567342547107415,EpsilonGreedy
3,3.1881114709930922,EpsilonGreedy
3,1.662925499210026,EpsilonGreedy
3,2.340188947696378,EpsilonGreedy
3,4.078891272789976,EpsilonGreedy
3,1.4949696241336743,EpsilonGreedy
3,2.487581140529471,EpsilonGreedy
3,3.5545489375657233,EpsilonGreedy
3,3.8846362628442375,EpsilonGreedy
3,1.3723187624340178,EpsilonGreedy
3,3.456112975836061,EpsilonGreedy
3,2.922706171892854,EpsilonGreedy
3,3.7083164181031387,EpsilonGreedy
3,3.662929067108722,EpsilonGreedy
3,2.7655530624175215,EpsilonGreedy
3,2.8042766888128363,EpsilonGreedy
3,2.5372960109957257,EpsilonGreedy
3,3.6272914392834785,EpsilonGreedy
3,0.8662581290784108,EpsilonGreedy
3,4.153511590220674,EpsilonGreedy
3,1.6739748768883473,EpsilonGreedy
3,3.9650738368836755,EpsilonGreedy
3,2.1920612193398696,EpsilonGreedy
3,2.190786043643028,EpsilonGreedy
3,4.126823845720358,EpsilonGreedy
3,3.877478948736616,EpsilonGreedy
3,4.796596288767648,EpsilonGreedy
3,2.17467393492623,EpsilonGreedy
3,4.27998990991639,EpsilonGreedy
3,3.976807127590318,EpsilonGreedy
3,3.5783481443507337,EpsilonGreedy
3,1.495443878935561,EpsilonGreedy
3,2.9955171084911,EpsilonGreedy
3,4.469314092358125,EpsilonGreedy
3,3.0111442367124743,EpsilonGreedy
3,3.683468021800504,EpsilonGreedy
3,3.8742787413222173,EpsilonGreedy
3,3.4684715943443183,EpsilonGreedy
3,2.3844070616269226,EpsilonGreedy
3,2.9477690420265774,EpsilonGreedy
3,3.6009833917274117,EpsilonGreedy
3,3.155988617371983,EpsilonGreedy
3,4.210680357214316,EpsilonGreedy
3,1.9222389869921375,EpsilonGreedy
3,2.743493537274345,EpsilonGreedy
3,3.341453871083488,EpsilonGreedy
3,3.7625533506319124,EpsilonGreedy
3,3.677442877958122,EpsilonGreedy
3,1.166479583931779,EpsilonGreedy
3,0.9713307748217819,EpsilonGreedy
3,3.9787439399945783,EpsilonGreedy
3,5.150639304827053,EpsilonGreedy
3,1.8506965803689812,EpsilonGreedy
3,3.1229439830591503,EpsilonGreedy
3,3.8226272212736685,EpsilonGreedy
3,2.5963626201208525,EpsilonGreedy
3,0.44787473046644966,EpsilonGreedy
3,2.7390336814533347,EpsilonGreedy
3,3.629121125560981,EpsilonGreedy
3,1.0526362473964628,EpsilonGreedy
4,4.3863574925890765,EpsilonGreedy
4,4.68288989214168,EpsilonGreedy
4,3.202981551857884,EpsilonGreedy
4,5.062914552078303,EpsilonGreedy
4,5.042597747194343,EpsilonGreedy
4,4.251111155062991,EpsilonGreedy
4,4.776556556694467,EpsilonGreedy
4,3.5954771542540076,EpsilonGreedy
4,4.45039327171737,EpsilonGreedy
4,4.6417284768622435,EpsilonGreedy
4,4.528415576625191,EpsilonGreedy
4,4.20879534823282,EpsilonGreedy
4,3.590709607081429,EpsilonGreedy
4,4.430370057290872,EpsilonGreedy
4,4.556514134088365,EpsilonGreedy
4,4.145946162496406,EpsilonGreedy
4,4.019387460993305,EpsilonGreedy
4,3.4724209809044986,EpsilonGreedy
4,2.8154603200848642,EpsilonGreedy
4,3.8189541304024734,EpsilonGreedy
4,3.416740700031216,EpsilonGreedy
4,4.435887293665649,EpsilonGreedy
4,4.776407871203901,EpsilonGreedy
4,3.8172590765985275,EpsilonGreedy
4,5.210264262427339,EpsilonGreedy
4,2.8543944731884068,EpsilonGreedy
4,2.7773498218378134,EpsilonGreedy
4,2.4052374830473537,EpsilonGreedy
4,3.1695730507340234,EpsilonGreedy
4,3.0649442756968504,EpsilonGreedy
4,3.80057369779737,EpsilonGreedy
4,4.610442365610298,EpsilonGreedy
4,4.629403390081347,EpsilonGreedy
4,2.868799165912331,EpsilonGreedy
4,4.487483351613584,EpsilonGreedy
4,3.233816901208658,EpsilonGreedy
4,3.8945393357100873,EpsilonGreedy
4,3.907562219415736,EpsilonGreedy
4,5.229671620556003,EpsilonGreedy
4,4.160270973227993,EpsilonGreedy
4,4.1830603796135,EpsilonGreedy
4,3.8227685028403164,EpsilonGreedy
4,6.793851441050453,EpsilonGreedy
4,4.243450818019495,EpsilonGreedy
4,4.503660669680481,EpsilonGreedy
4,2.840182478161066,EpsilonGreedy
4,5.029039240214372,EpsilonGreedy
4,3.822092040189046,EpsilonGreedy
4,4.90087517344641,EpsilonGreedy
4,4.196768113595553,EpsilonGreedy
4,4.775103564182874,EpsilonGreedy
4,4.517548789527227,EpsilonGreedy
4,3.4805924761793,EpsilonGreedy
4,4.634771180635027,EpsilonGreedy
4,1.7862499635099889,EpsilonGreedy
4,1.9492937359833937,EpsilonGreedy
4,6.2142709528001365,EpsilonGreedy
4,3.6538974744871893,EpsilonGreedy
4,2.7024060975707065,EpsilonGreedy
4,3.2059333214650105,EpsilonGreedy
4,1.8588326192068823,EpsilonGreedy
4,4.174854454714004,EpsilonGreedy
4,3.563673328809379,EpsilonGreedy
4,3.1035800577044035,EpsilonGreedy
4,4.806311859483008,EpsilonGreedy
4,4.956112760670252,EpsilonGreedy
4,3.4794625912770294,EpsilonGreedy
4,3.8195897989905707,EpsilonGreedy
4,3.950946695968078,EpsilonGreedy
4,3.1719183820108015,EpsilonGreedy
4,3.904898581159937,EpsilonGreedy
4,3.656847327807008,EpsilonGreedy
4,3.449065751715393,EpsilonGreedy
4,3.603103812938275,EpsilonGreedy
4,3.57649658544167,EpsilonGreedy
